# cp [..cp] ; HO ; SVO ; MVO
0000..001F ; U ; U ; R
0020 ; U ; R ; R
0021 ; U ; U ; R
0022 ; U ; U ; R
0023 ; U ; U ; R
0024 ; U ; U ; R
0025 ; U ; U ; R
0026 ; U ; U ; R
0027 ; U ; U ; R
0028 ; U ; R ; R
0029 ; U ; R ; R
002A ; U ; U ; R
002B ; U ; U ; R
002C ; U ; U ; R
002D ; U ; R ; R
002E..005A ; U ; U ; R
005B ; U ; R ; R
005C ; U ; U ; R
005D ; U ; R ; R
005E ; U ; U ; R
005F ; U ; R ; R
0060..007A ; U ; U ; R
007B ; U ; R ; R
007C ; U ; U ; R
007D ; U ; R ; R
007E ; U ; U ; R
007F..009F ; U ; U ; R
00A0 ; U ; R ; R
00A1 ; U ; U ; R
00A2 ; U ; U ; R
00A3 ; U ; U ; R
00A4 ; U ; U ; R
00A5 ; U ; U ; R
00A6 ; U ; U ; R
00A7 ; U ; U ; U
00A8 ; U ; U ; R
00A9 ; U ; U ; U
00AA ; U ; U ; R
00AB ; U ; R ; R
00AC ; U ; U ; R
00AD ; U ; U ; R
00AE ; U ; U ; U
00AF ; U ; U ; R
00B0 ; U ; U ; R
00B1 ; U ; U ; R
00B2 ; U ; U ; R
00B3 ; U ; U ; R
00B4 ; U ; U ; R
00B5 ; U ; U ; R
00B6 ; U ; U ; U
00B7 ; U ; U ; R
00B8 ; U ; U ; R
00B9 ; U ; U ; R
00BA ; U ; U ; R
00BB ; U ; R ; R
00BC ; U ; U ; U
00BD ; U ; U ; U
00BE ; U ; U ; U
00BF ; U ; U ; R
00C0..00D6 ; U ; U ; R
00D7 ; U ; U ; R
00D8..00F6 ; U ; U ; R
00F7 ; U ; U ; R
00F8..00FF ; U ; U ; R
0100..017F ; U ; U ; R
0180..024F ; U ; U ; R
0250..02AF ; U ; U ; R
02B0..02E4 ; U ; U ; R
02E5 ; U ; U ; U
02E6 ; U ; U ; U
02E7 ; U ; U ; U
02E8 ; U ; U ; U
02E9 ; U ; U ; U
02EA ; U ; U ; U
02EB ; U ; U ; U
02EC..02FF ; U ; U ; R
0300..036F ; U ; U ; R
0370..03FF ; U ; U ; R
0400..04FF ; U ; U ; R
0500..052F ; U ; U ; R
0530..0589 ; U ; U ; R
058A ; U ; R ; R
058B..058F ; U ; U ; R
0590..05BD ; U ; U ; R
05BE ; U ; R ; R
05BF..05FF ; U ; U ; R
0600..06FF ; U ; U ; R
0700..074F ; U ; U ; R
0750..077F ; U ; U ; R
0780..07BF ; U ; U ; R
07C0..07FF ; U ; U ; R
0800..083F ; U ; U ; R
0840..085F ; U ; U ; R
0860..089F ; U ; U ; R
08A0..08FF ; U ; U ; R
0900..097F ; U ; U ; R
0980..09FF ; U ; U ; R
0A00..0A7F ; U ; U ; R
0A80..0AFF ; U ; U ; R
0B00..0B7F ; U ; U ; R
0B80..0BFF ; U ; U ; R
0C00..0C7F ; U ; U ; R
0C80..0CFF ; U ; U ; R
0D00..0D7F ; U ; U ; R
0D80..0DFF ; U ; U ; R
0E00..0E7F ; U ; U ; R
0E80..0EFF ; U ; U ; R
0F00..0FFF ; U ; U ; R
1000..109F ; U ; U ; R
10A0..10FF ; U ; U ; R
1100..11FF ; U ; U ; U
1200..137F ; U ; U ; R
1380..139F ; U ; U ; R
13A0..13FF ; U ; U ; R
1400 ; U ; R ; R
1401..167F ; U ; U ; U
1680..169F ; U ; R ; R
16A0..16FF ; U ; U ; R
1700..171F ; U ; U ; R
1720..173F ; U ; U ; R
1740..175F ; U ; U ; R
1760..177F ; U ; U ; R
1780..17FF ; U ; U ; R
1800..18AF ; L ; U ; U
18B0..18FF ; U ; U ; U
1900..194F ; U ; U ; R
1950..197F ; U ; U ; R
1980..19DF ; U ; U ; R
19E0..19FF ; U ; U ; R
1A00..1A1F ; U ; U ; R
1A20..1AAF ; U ; U ; R
1B00..1B7F ; U ; U ; R
1B80..1BBF ; U ; U ; R
1BC0..1BFF ; U ; U ; R
1C00..1C4F ; U ; U ; R
1C50..1C7F ; U ; U ; R
1CC0..1CCF ; U ; U ; R
1CD0..1CFF ; U ; U ; R
1D00..1D7F ; U ; U ; R
1D80..1DBF ; U ; U ; R
1DC0..1DFF ; U ; U ; R
1E00..1EFF ; U ; U ; R
1F00..1FFF ; U ; U ; R
2000..200A ; U ; R ; R
200B..200F ; U ; U ; R
2010 ; U ; R ; R
2011 ; U ; R ; R
2012 ; U ; R ; R
2013 ; U ; R ; R
2014 ; U ; R ; R
2015 ; U ; R ; R
2016 ; U ; U ; U
2017 ; U ; U ; R
2018 ; U ; Tu ; T
2019 ; U ; Tu ; T
201A ; U ; Tu ; R
201B ; U ; Tu ; R
201C ; U ; Tu ; R
201D ; U ; Tu ; R
201E ; U ; Tu ; R
201F ; U ; Tu ; R
2020 ; U ; U ; U
2021 ; U ; U ; U
2022 ; U ; U ; R
2023 ; U ; U ; R
2024 ; U ; R ; R
2025 ; U ; R ; R
2026 ; U ; R ; R
2027 ; U ; U ; R
2028..2029 ; U ; U ; R
202A..202E ; U ; U ; R
202F ; U ; R ; R
2030 ; U ; U ; U
2031 ; U ; U ; U
2032 ; U ; U ; R
2033 ; U ; U ; R
2034 ; U ; U ; R
2035 ; U ; U ; R
2036 ; U ; U ; R
2037 ; U ; U ; R
2038 ; U ; U ; R
2039 ; U ; R ; R
203A ; U ; R ; R
203B ; U ; U ; U
203C ; U ; U ; U
203D ; U ; U ; U
203E ; U ; U ; R
203F ; U ; R ; R
2040 ; U ; R ; R
2041 ; U ; U ; R
2042 ; U ; U ; U
2043 ; U ; U ; R
2044 ; U ; U ; U
2045 ; U ; R ; R
2046 ; U ; R ; R
2047 ; U ; U ; U
2048 ; U ; U ; U
2049 ; U ; U ; U
204A ; U ; U ; R
204B ; U ; U ; R
204C ; U ; U ; R
204D ; U ; U ; R
204E ; U ; U ; R
204F ; U ; U ; R
2050 ; U ; U ; R
2051 ; U ; U ; U
2052 ; U ; U ; R
2053 ; U ; U ; R
2054 ; U ; R ; R
2055 ; U ; U ; R
2056 ; U ; U ; R
2057 ; U ; U ; R
2058 ; U ; U ; R
2059 ; U ; U ; R
205A ; U ; U ; R
205B ; U ; U ; R
205C ; U ; U ; R
205D ; U ; U ; R
205E ; U ; U ; R
205F ; U ; R ; R
2060..2064 ; U ; U ; R
2065 ; U ; U ; U
2066 ; U ; U ; U
2067 ; U ; U ; U
2068 ; U ; U ; U
2069 ; U ; U ; U
206A..206F ; U ; U ; R
2070..209F ; U ; U ; R
20A0..20AB ; U ; U ; R
20AC ; U ; U ; R
20AD..20CF ; U ; U ; R
20D0..20DC ; U ; U ; R
20DD..20E0 ; U ; U ; U
20E1 ; U ; U ; R
20E2..20E4 ; U ; U ; U
20E5..20FF ; U ; U ; R
2100 ; U ; U ; U
2101 ; U ; U ; U
2102 ; U ; U ; U
2103 ; U ; U ; U
